id,Job Title,Education,Experience,superlative_score,text_inconsistency_score,reciprocity_score,timeline_inconsistency_score
253,"MANAGER, CONTINUOUS IMPROVEMENT","Aviation Technician
September 2010 to September 2013 Company Name ï¼​ City , State
Hours worked per week: 40hrs Trouble shoot mechanical malfunctions of engines Launch and recover aircrafts Perform maintenance on time
sensitive parts Perform minor repairs on airframe and engine Perform Fuel and Defuel of aircraft Perform engine operational checks upon
completion of maintenance
Sales Associate
September 2008 to August 2010 Company Name ï¼​ City , State Create shelf displays for games and gaming systems Provide shoppers with
detailed information used in the decision making process Ensure games, iPods, media and accessories are properly stocked Ensure cleanliness of
sales area Operate cash register Help other associates on the sales floor Create shelf displays for computers and accessories Provide shoppers
with detailed information used in the decision making process Ensure computers and accessories are properly stocked Ensure cleanliness of sales
area Operate cash register Help other associates on the sales floor
Education and Training
BS : Aviation Business Administration, Safety , 2018 Embry-Riddle Aeronautical University ï¼​ City , State , US BS in Aviation Business
Administration with a minor in Safety Embry-Riddle Aeronautical University - Daytona Beach, FL 2015 to 2018
Master : 2014 Six Sigma Villanova University ï¼​ City , State , US Master Certificate in Six Sigma Villanova University - Villanova, PA 2014 to
2014
AS : Aviation Maintenance , 2010 National Aviation Academy ï¼​ City , State , US AS in Aviation Maintenance National Aviation Academy -
Clearwater, FL 2008 to 2010 Fiber Optic Repair
Military Experience
E5-SGT
August 2001 to January 2009 Company Name
Service Country: United States Branch: Marine Corp Rank: E5-SGT August 2001 to January 2009 As an aviation electronics technician, I
repaired electronics aircrafts systems, troubleshot, repaired and replaceable electronic components. ","Professional Experience
Manager, Continuous Improvement
November 2014 to Current Company Name ï¼​ City , State Hours worked per week: 40hrs Responsibilities Utilize the tools of Six Sigma and
Lean to improve processes across the facilities. ",0.46427202,0.508902065,0,0.114285714
254,SUMMER CAMP COUNSELOR,"sales associate/cashier
November 2012 to October 2015 Company Name ï¼​ City , State
sales associate, helping customers and taking care of shipment
usher
June 2014 to September 2014 Company Name ï¼​ City , State
directed people to their seats and scanned tickets
Sales associate/cashier
June 2013 to Current Company Name ï¼​ City , State
cashier and help customers with whatever they need
Education
Veterinarian assistant , 2015 Middlesex County College ï¼​ City , State , USA GPA: high school from Sayreville War Memorial High school in the
year 2013
completed a Veterinarian Assistant certificate program in May of 2015
 ","SUMMER CAMP COUNSELOR
Summary
I have a Veterinarian Assistant certificate from Middlesex County college, I also have a Pet first aid certificate, I have always been interested in the
veterinarian medicine field, I used to volunteer at my local animal shelter, I am hardworking and I would enjoy coming to work everyday, very
organized and friendly, I have a lot of experience in dealing with people as well from my retail jobs
Highlights
friendly
pet first aid certified
caring
knowledge in vet nursing and pharmacology
organized
Accomplishments
I completed the veterinarian assistant certificate program at Middlesex county college in Edison, New Jersey. Experience
summer camp counselor
June 2012 to August 2013 Company Name ï¼​ City , State
summer camp counselor for kids ages 3 and 4.
 In this program I learned about Veterinarian medicine, nursing, pharmacology, and Veterinarian technology
Skills
very friendly and patient especially for animals
very friendly toward people as well because of all my experience in retail I am very patient
I have always been organized and very hardworking
 ",0.3146381,0.645393713,1,0
255,STAFF ACCOUNTANT,"Reconcile account receivables/inter-company sales and prepare journal entries for month end closing
Skills
Accounts Payable, bank reconciliations, Bank Reconciliation, financial reports, financial statements, general ledger
Education
Bachelor of Business Administration Degree : Accounting Business Administrative 1999
Western Michigan University City , State
Accounting Business Administrative
Bachelor of Business Administration Degree : ","STAFF ACCOUNTANT
TAM BUI
Professional Summary
To pursue a challenging and reward career, which will allow me to utilize my background in accounting and business environment Ability to multi-
task in a high paced deadline driven environment *Excellent in Microsoft Word, Microsoft Excel, and Microsoft Outlook *Experience in DBA
accounting software as well as other accounting software such as Imaginary or EVO software
To pursue a challenging and reward career, which will allow me to utilize my background in accounting and business environment Ability to multi-
task in a high paced deadline driven environmentÂ
Excellent in Microsoft Word, Microsoft Excel, and Microsoft OutlookÂ
Skilled accountant with experience in the manufacture industry. To pursue a challenging and reward career, which will allow me to utilize my background in accounting and business environment Ability to multi-
task in a high paced deadline driven environmentÂ
Excellent in Microsoft Word, Microsoft Excel, and Microsoft OutlookÂ
Skilled accountant with experience in the manufacture industry. Skills
Self-motivated Conflict resolution
Budgeting and finance Powerful negotiator
Strong verbal communication Extremely organized
Self-motivated Conflict resolution
Budgeting and finance Powerful negotiator
Strong verbal communication Extremely organized
Self-motivated Conflict resolution
Budgeting and finance Powerful negotiator
Strong verbal communication Extremely organized
Work History
Staff ",0.51804954,0,1,0
256,ACCOUNTANT,"Education
MBA (Finance and IT) * ","Extensive experience with Financial Statements audits, reviews, compilations and audits for Governmental organizations (A-133).
 Experience
Performs routine accounting activities such as maintenance of the general ledger, preparation of various accounting statements and financial
reports and accounts payable or receivable functions.
 Accounts Receivable experience with focus in Cash Application and/or Adjustments Process day to day AP; to include matching, reviewing
for proper approvals and G/L coding, researching and entering invoices.
 Cross train with A/R to process invoices and deposits Relies on experience and judgment to plan and accomplish goals.
 Having good domain experience related to different functional module: Order 2 Cash (OTC), Procure 2 Pay (P2P), Buy 2 Pay (B2P) and
Invoice 2 Pay (I2P).
 ",0.60987693,0,0,0
257,"CORPORATE BANKING ASSISTANT, INTERN","Education
Master of Science : Computer Engineering , 2016 University of Missouri-Columbia ï¼​ City , State , USA
Graduate Research Assistantships
GPA: 3.46/4.0
Bachelor of Science : Finance and Banking , 2013 University of Missouri-Columbia ï¼​ City , State , USA
Minor in Mathematics
Vice President of Chinese Business Student Association
 ","Â Has extensive experience
of assisting in the development and upgrading of database systems and analytical techniques. Skills
Programming Language: C/C++, Python, MATLAB, SQL, R, LUA, VBA
Machine Learning: Supervised Learning, Unsupervised Learning, Deep Neural Networks
Finance: Corporate Banking, Financial Forecasting, Financial Analysis
Language: English, Chinese
Experience
Corporate Banking Assistant, Intern
May 2015 to August 2015 Company Name ï¼​ City , State
Wrote commercial mortgage recommendation reports for risk management, including properties appraisals, cash flow analysis, asset
coverage analysis, RAROC analysis and sensitivity analysis. ",0.46036658,0.508751966,0,0.171428571
258,"MANAGER, FINANCE","Collected unpaid balances through vendor resubmission and phone calls
Analyzed detail and summary agings
Communicated and resolved various issues with vendors
Researched various issues for reconciliation purposes
Trained new employees on chargeback analysis and reconciliation
Education
Bachelor of Science , Business Administration Accounting and Finance The Ohio State University ï¼​ City , State Business Administration
Accounting and Finance
Skills
Budgeting, Analysis, Management, Cash Flow, Prophix Software Administrator
 ","MANAGER, FINANCE
Summary
Strategic and analytical finance and accounting professional with 15 years + experience of success in financial analysis, budget preparation and
financial reporting. Very detail oriented and experienced in grant management, general ledger reconciliation, management and team- building skills.
 Highlights
Budget Preparation
Management & Supervision
Variance analysis
Proficient in Prophix
Forecasting & Cash Flow Analysis
General ledger accounting aptitude
Financial reporting
Certified Public Finance Officer
Superior time management
Accomplishments
Budgeting
Extensive experience with preparing, analyzing and reporting for various types of budgets. Auditing
Experience with Financial Statements audits, reviews, compilations and audits for Governmental organizations.
 Experience
Manager, Finance Dec 2007 to Current
Company Name ï¼​ City , State
Prepare and analyze annual operating budget schedules for all business units
Prepare monthly cash flow reports and analysis of data
Perform monthly reconciliations on various general ledger accounts
Manage the cash management, banking and treasury functions
Manage debt management and compliance
Monitors for compliance with EMMA, bond covenants and bond requirements
Conduct training for the operating budget software
Serve as Financial Advisor for budget data
Maintain Prophix database of operating budget and account line item details
Supervise, train and appraise Staff Accountant and Financial Analyst
Monitor and evaluate federal grants and spending of grant allocations in excess of $15 million dollars annually
Manages and coordinates the Passenger Facility Charge Program
Preparation of Single Audit - Schedule of Federal Awards on an annual basis
Prepare annual reporting for DEA receipts and expenditures to Department of Justice
Maintained database of Capital Projects and Expenditures
Prepared payroll and benefit budgets
Prepared commercial paper schedules and entries as required to record monthly transaction entries and perform fee analysis
Prepared and analyzed airline variable calculations
Capital Funds Accountant May 1999 to Dec 2007
Company Name ï¼​ City , State
Prepared quarterly reports for the Federal Aviation Administration
Reviewed all capital invoices for correct account number, cost element codes, business unit and grant approvals
Ensured accuracy of compliance of prevailing wage laws by contractors and subcontractors
Monitored the collection and disbursement of Passenger Facility Charges
Provided monthly and quarterly reports to Senior Management
Reviewed change order requests for completeness and accuracy
Oversaw the accounting of retainage and interest for capital contracts
Performed the account function for bonds, PFC's and grants and reconciled to the general ledger on a monthly basis
Evaluated deferred revenues for advance grants and prepared entries to recognize income as appropriate
Completed DEA processing, reconciliations and reporting for Task Force and Airport Funds
Maintained proficiency in the understanding of single audit and assisted in assurance of Authority compliance
Facilitator of the CORE team in 2006
Created various spreadsheets to ensure compliance of prevailing wage
Senior Financial Analyst Oct 1997 to Mar 1999
Company Name ï¼​ City , State
Prepared financial information for annual reports, semi-annual reports and prospectuses
Compiled and analyzed total return information on a monthly basis
Reviewed propriety of invoices and expense authorizations for all fund expenses
Ensured expenses were paid in a timely manner by accounts payable
Acted as a liaison between audit firms and mutual fund clients
Provided various information to governmental regulatory agencies
Performed expense analysis for Fund Group and document explanations of variances
Obtained information and prepared proforma's for clients
Trained new analysts on job duties and responsibilities
Prepared the quarterly books distributed to each Fund's Board of Directors
Created and analyzed expense accruals for each portfolio of the Fund Group
Performed any value-added services required by the clients or internal departments
Chargeback Analyst Jun 1995 to Oct 1997
Company Name ï¼​ City , State
Maintained largest vendor with weekly sales of $1.2 million+
Reduced Cardinal exposure for resubmissions from 120 days+ to 60 days
Acted as a liaison between internal departments and vendors
 ",0.6513298,0,0,0
259,SENIOR ACCOUNTANT,"Proven ability to take on extra responsibilities and manage multiple
projects simultaneously while working under stringent deadlines and maintaining high degree of confidentiality.
 Education
Bachelor of Arts : Economics City College of New York GPA: GPA: 3.2 Honors Cum Laude Economics GPA: 3.2 Honors Cum Laude
Languages
Fluent in Spanish
 ","SENIOR ACCOUNTANT
Summary
A highly competent, motivated, reliable and result-driven Accountant with extensive experience supporting the finance needs of the organization. Highlights
MS Excel, Word (60 WPM), Outlook, Intacct, Professional Accounting System, SAGE 100 Fund Accounting, and BOA CashPro, ADP,
BenefitMall Payroll, Fidelity, Choice Strategies
Experience
Senior Accountant
May 2015 to Current Company Name ï¼​ City , State
Financial Reporting and daily operations: Oversee cash management - daily.
 ",0.427741,0.467095629,0,0
260,PATIENT ADVOCATE,"Education and Training
High School Diploma 2013 Winfree Academy Charter School ï¼​ State
CNA Certificate 2012 City , State
Skills
agency, basic, call center, case manager, CNA, Creative problem solver, Credit, client, clients, Customer service, fast, financial, Insurance,
insurance sales, listening, money, Strong organizational skills, patient care, Problem Solver, progress, quality, Quick learner, range of motion, sales,
Scheduling, statistics, telephone, Training development, transportation
 ","PATIENT ADVOCATE
Summary
Customer service professional dedicated to effective team management and customer satisfaction, bringing extensive call center experience in
inbound, outbound and blended environments. Skills
Customer service expert Customer-focused
Strong organizational skills Skilled multi-tasked
Creative problem solver Deadline-oriented
Active listening skills Scheduling
Quick learner Bilingual
Training development aptitude Dentrix/Open Dental Training
Credit card processing
Experience
Patient Advocate May 2015 to Jun 2017
Company Name ï¼​ City , State
Maintained accurate records of patient care, condition, progress and concerns.
 ",0.576684,0,0,0
261,FINANCE MANAGER,"Besides the above work routine, I am also looking after any liaison work with the outside agencies, entrusted by the
Management.
Education
Bachelor of Commerce 1980 Andhra University
Post Graduate Diploma : Financial Management 2001 Annamalai University Financial Management Major Field of study - Accountancy Computer
Educations Diploma from Data Pro computers, Visakhapatnam. ","Professional Experience
01/2010 to 01/2014
Presently working as Finance Manager at Moevenpick Hotel Sukhumvit 15 Bangkok.
 ",0.43381616,0,0,0.6
262,ADMINISTRATIVE ASSISTANT DIRECTOR HUMAN RESOURCES MANAGER PRODUCTION MANAGER ENGINEERING,"Education
Diploma Virginia High School ï¼​ City , State
Skills
accounts payable, administrative support, Benefits, Oral, Counseling, databases, data base, Database, Email, Senior Management, filing, Forms,
Human Resources, instruction, Internet Software, KRONOS, letters, LotusNotes, Managing, Materials, Meetings, Access, Microsoft Access,
Excel, mail, Microsoft Outlook, PowerPoint, Microsoft Windows, Microsoft Word, newsletter, Office Management, Organizing, payroll,
PeopleSoft, personnel, presentations, Proofreader, Radio, receiving, Safety, SAP, scheduling, secretarial, statistics, answering phones, training
materials, transcription, travel arrangements, Written Communication, composition
 ","Â
Highlights
Training and Instruction
Microsoft Office Proficiency
KRONOS Excel spreadsheets
Internet Software Meticulous attention to detail
Microsoft Word/PowerPoint/Excel Results-oriented
Office Management Self-directed
Microsoft Access Professional and mature
Organizing Meetings/Materials Preparation Strong problem solver
LotusNotes & Microsoft Outlook Email Resourceful
Planning and Facilitating Large Events Business writing
SAP Dedicated team player
Managing Confidential Records Strong interpersonal skills
PeopleSoft Understands grammar
Employee Benefits Counseling Meeting planning
Registrar Report writing
Arranging Domestic/International Travel Report development
Oral and Written Communication Schedule management
SAP Site Security Self-starter
Skilled Proofreader Executive presentation development
Accomplishments
Experience
Administrative Assistant Director, Human Resources Manager, Production Manager, Engineering Manager, Technical Services Manager, and
Information Technology Manager
January 2012 to January 2015 Company Name ï¼​ City , State
Provided administrative support to production departments, IT, and Human Resources.
 Prepared employment requisitions for all vacancies and announcements of open non-exempt positions.
Made arrangements for on- and off-site training and development activities, including reserving meeting rooms and securing equipment.
 ",0.37239844,0,0,0
263,GENERAL ACCOUNTANT,"Education
Bachelor of Science : ","GENERAL ACCOUNTANT
Summary
Team-oriented accountant, successful at managing multiple projects and consistently meeting deadlines under Budget forecasting Excellent
managerial techniques Account reconciliation Strong organizational skills Cash Management Proficient in QuickBooks, Intacct, Financial statement
reporting Excel, Word
Experience
01/2016 to 11/2016
General Accountant
Treasury Manager
Comply365 * ",0.67713237,0,0,0
264,CUSTOMER SERVICE REPRESENTATIVE,"Education
Associate of Arts , Interior Design 2004 Amarillo College ï¼​ City , State , USA
Associate of Arts , Interior Design Border Institute of Technology Amarillo College ï¼​ City , State Began Associates degree here but moved to
Amarillo and continued and finished education in Amarillo
Interests
 ","I love to provide Customer Service andÂ provideÂ the bestÂ experience
withÂ the company. My personal experiences have made me realize I like to make aÂ call or a store visit Â more worthwhile for the
customer. My purpose isÂ make what can be a boring or tediousÂ task toÂ be a better experience and make a happy and loyal customer. I
mainly have worked in call centers and a little experience in sales and store customer service.
 Earned cash bonuses for Customer Satisfaction several times
Experience
Customer Service Representative Sep 2014 to Mar 2015
Company Name ï¼​ City , State
TMG is a call center where IÂ attended customersÂ with their Medicare RX plans and for Medicare Advantage Plans.
 ",0.63384414,0,0,0
265,INFORMATION TECHNOLOGY INTERN (TEST AUTOMATION ENGINEER),"Education
Master of Science : Computer Science 2017 Lamar University City , State , United States of America GPA: 4.0/4.0
Bachelor of Engineering : Electronics and Communication Engineering 2013 Tribhuvan University City , State , Nepal GPA: 3.94/4.0
Honours and Distinction
Winner of National Robotics Competition, 'Yantra 1.0' organized by Robotics Association of Nepal (RAN): July 2012
Outstanding Student Award, Lamar University: ","Summary
Over 3 yearsÂ of experience serving as a key contributor across all software development life cycleÂ phases includingÂ analysis,
architectural design, prototyping, development, and testing of applicationÂ using Java/J2EE technologies in various domains.
 Excellent working experience in backendÂ development using different Spring modules like Spring Core ContainerÂ Module, AOP, MVC,
Security, Data, Transaction Management etc.
Experienced in developing Microservices with Spring Boot, Spring REST, Spring Cloud, etc.
Extensive experience in developing Web interfaces using HTML5, CSS3, Bootstrap, SASS, LESS, JavaScript, jQuery, AngularJS,
ReactJS and BackboneJS.
Experienced in working with SQL databases like MySQL, PostgreSQL, Oracle and have some knowledge of NoSQL databases like
MongoDB.
Expertise working in Agile methodology environments like Scrum.
Experienced in working with Version Control Tools like SVN and Git.
Experienced in performing automation using Selenium, Java and performing Behavioral driven testing using Cucumber.
 Experienced in build tools like Ant, Maven, Gradle and using them with continuous integration tools like Jenkins.
 Skills
Programming Languages: Java/J2EE, JavaScript, Android, HTML, CSS, SQL, C, C
Frameworks and Libraries: Spring, Restful-Web Services, Hibernate, AngularJS, ReactJS, jQuery, Bootstrap,Â Selenium WebDriver,
Cucumber
Databases: MySQL, PostgreSQL, Oracle, MongoDB, H2
Build Tools: Gradle, Maven, Ant
Practices: Agile/Scrum, Waterfall, TDD, Clean Coding, Continuous Delivery
Architectures: Microservices, Single Page Application, REST, Client/Server
Version Control: SVN, Git
Cloud Application Platform: AWS
Others: Bower, Grunt, Npm, Node, JSON, XML, Jenkins
IDE: Eclipse, IntelliJ, Android Studio
Operating Systems: Linux, Windows
Experience
Information Technology Intern (Test Automation Engineer) 05/2017 to 08/2017 Company Name City , State
Created nicely baked â€˜Test Automation Framework' to provide an execution environment for the automation test scripts. Gained experience in multi-platform mobile application development technologies like PhoneGap and Titanium.
 ",0.58776814,0.408299498,0,0.114285714
266,FINANCE SPECIALIST,"Education and Training
Bachelor of Science , Accountancy Philippines 2006 Holy Angel University Accountancy Cum Laude Philippines
Skills
Accounting, general accounting, auditing, balance sheets, billings, budget, closing, contracts, CPA, credit, client, clients, Finance, Financial,
Financial Accountant, financial audit, financial reporting, prepare the Company's Financial Statements, Financial Statements, funds, PHP,
inspection, internal audit, inventory, meetings, Exchange, Office, payables, procurement, quality, maintaining files, reporting, Securities, tax, Tax
Returns, phone, year-end
 ","Experience
Finance Specialist Nov 2014 to Jan 2015
Company Name
One of the nation's largest owners and managers of high-quality residential housing representing a diverse mix of multifamily, military and
student communities.
 The experience I gained from SGV & Co.
has made me confident in fulfilling this scope of my work.
 ",0.38722712,0.286140639,0,0
267,CUSTOMER SERVICE ADVOCATE,"Education
Associate of Science : Health Administration El Centro Community College City , State , usa
Health Administration
State
Skills
Skills
Microsoft Suite Proficiency
RightFax Ventura
Lotus Notes
10 Key (By Sight)
Data Entry
Dispatch
Collections
Customer Service
Sales
Cash Handling
 ","Highlights
Strong organizational skills Meticulous attention to detail
Active listening skills Results-oriented
Seasoned in conflict resolution Self-directed
Sharp problem solver Time management
Experience
Customer Service Advocate 09/2014 to 03/2015 Company Name City , State
Provide customer service and support.
 ",0.4927645,0,0,0
268,INTERNATIONAL CERTIFICATION PROGRAM MANAGEMENT,"Education and Training
Bachelor of Science : Professional Aeronautics 2009 Embry-Riddle Aeronautical University
Minors: Aviation Safety, Management, International Relations
Associate of Arts : Liberal Arts 2004 Johnson Country Community College City , State
Professional Aeronautics 1999 ","INTERNATIONAL CERTIFICATION PROGRAM MANAGEMENT
Profile
I am an experienced professional with 14 years of aviation & aerospace with expertise in international governmental liaison, aircraft certification,
regulatory compliance, aircraft sales and import/export compliance. Skills
Substantial knowledge of all Microsoft Windows operating Domestic & international regulatory compliance
systems and MS Office Aircraft Import/export experience Strong management & complex
 Professional Experience
International Certification Program Management 07/2010 to Current Company Name City , State
Demonstrated experience in all aspect of the International aircraft validation / acceptance process from application submittal to granting of a
validated type certificate.
 Ensured compliance to multi-national agreements and regulatory frame work Experienced in US federal regulations 14CFR 61, 91, 23,
135.
 ",0.3375916,0,0,0
269,"SUPERVISOR, ACCOUNTANT","Education
1997
High School Diploma Scribner -Snyder Scribner , Ne , Dodge
Accomplishments
Â Operated computers programmed with accounting software to record, store, and analyze information.
 ","SUPERVISOR, ACCOUNTANT
Professional Summary
Motivated sales professional with 10+ years sales representative experience. Machine Operator with 5 years experience reviewing
work orders and running several different machines simultaneously in a 5S environment. Experience in a warehouse pick/pack fulfillment and
distribution environment. Year
Experience in running a Aftermarket Radiator Company which duties included bookkeeping, working with excel, supervising a sales team to make
quality sales for our business and keeping a inventory on our parts. Core Qualifications
Initiative to work independently Customer service Quality inspection Team building Excel spreadsheet Strong initiative Energetic work attitude
Outstanding customer service Active listening skills Strong communication skills Call center experience Strong organizational skills Strong
Organizational Skills Telecommunication skills Proper phone etiquette Opening/closing procedures Knowledgeable of quality Excellent
communication skills control standards Strong interpersonal skills
Experience
01/2002
Supervisor, Accountant Company Name ï¼​ City , State
Supervised and trained sales team.
 Guaranteed positive customer experiences and resolved all.
 ",0.4868485,0.689725034,0,0
270,HR CUSTOMER SERVICE REPRESENTATIVE,"HR CUSTOMER SERVICE REPRESENTATIVE
Summary
Excellent team player with legal background and abilities to interpret laws, procedures, policies and processes; Client-oriented, results-driven and
deadline-oriented with a high degree of initiative; Capable to undertake and resolve numerous and complex assignments with minimal supervision.
 Education
Master : Business Administration Business Administration
Master : ","Experienced in quantitative research and data analysis. Experience
01/2002
HR Customer Service Representative 11/2012 to Current Company Name
Respond to inquiries about HR policies and procedures from clients and their dependents via telephone, emails, fax and walk-ins.
 ",0.5047085,0.266111987,0,0
271,FINANCE DIRECTOR,"Education
Master of Business Administration : Finance May 2002 UNIVERSITY OF MARYLAND - COLLEGE PARK Robert H. Smith School of
Business GPA: GPA: 3.73 Finance GPA: 3.73
Bachelor of Arts : Chemistry Mathematics and Chinese May 1998 NEW YORK UNIVERSITY GPA: GPA: 3.93 UNCF - Merck
Undergraduate Science Research Scholarship for Minorities GPA: 3.93 Chemistry Mathematics and Chinese UNCF - Merck Undergraduate
Science Research Scholarship for Minorities
Skills
streamline, ad, balance sheet, Basic, budgeting, budgets, Budget, business processes, capital expenditures, Cognos, Conferences, contracts,
Corporate Finance, cost reduction, Client, data collection, documentation, drivers, economic analysis, Essbase, senior management, Finance,
Financial, Financial Analyst, financial forecasts, financial reporting, forecasting, Hyperion, inventory, Investments, JD Edwards, Latin, Leadership,
Lotus Notes, Director, macros, managing, Mfg, market, Marketing, MBA, Access, Excel, Microsoft Office Suite, PowerPoint, Win98, Word,
pricing, processes, Procurement, promotion, Quality, Recruiting, reporting, Sales, SAP, Sarbanes-Oxley, Six Sigma, Spanish, strategic, Supply
Chain Management, Tax, Vaccine, variance analysis, Vista, written
 ","FINANCE DIRECTOR
Experience
Finance Director 04/2014 to Current Company Name City , State
Merck Global Capital Investment Planning & Reporting.
 ",0.502265,0.407452751,0,0.2
272,HR BUSINESS PARTNER II,"Education
1995
Kalamazoo & GRCC Community College
University of Phoenix BSBM : Business Management Business Management
Interests
Project SEARCH 5/3 Bank Donations Committee Chair 2010, 2011, Auction to Benefit Project SEARCH planning committee Teach a Child to
Save Classroom Initiative United Way Donations Captain, Day of Caring Volunteer, Contributor. ","This position would leverage my professional experiences and job knowledge to enable me to make an immediate contribution to the
organization; while providing me with a challenging work environment that will allow me to continue to learn and grow.
 Core Competencies
Human Capital Planning
Employee Engagement
Change Leadership
Project Management
Hiring and retention
Training and development
Performance management strategies
Experience
12/2002 - Current
Company Name ï¼​ City , State HR Business Partner II
Experienced HR professional with successful career in banking, operation/procedural development, and administration.
 ",0.4848033,0,0,0.028571429
273,MARKETING MANAGER,"Education
Associate of Arts , General Pierce Community College
High School Diploma Woodrow Wilson High School
Technical Skills
Operating Systems: Windows 10 and below Â
Databases: Constant Contact, ConnectWise, Raisers Edge, Auction Tracker, Auction Pay, ArtSoft, ResNet Â
Graphics Tools: Adobe Photoshop Elements, Microsoft Publisher
Additional Information
One of 4 Marketing Managers chosen in 2015 for a National 9 Month Training
Board Member West Sound Roller Girls Roller Derby Team
Franciscan Foundation Scholarship award winner 2009Â
 ","Almost twenty years of experience in providing top-quality customer service, office management, Marketing, and public
relations both for private corporations and non-profit organizations. Highlights
Microsoft Office Suite expert
Customer service-focused
Relationship building expertSelf-directed
Deadline-driven
Exceptional multi-tasker Excellent written and verbal communicator
Multi-media marketing
Experience
Marketing Manager Nov 2011 to Oct 2016
Company Name ï¼​ City , State
Drive strategic marketing planning as well as tactical execution for the 6 regions.
 Senior Level Administrative experience Provide customer service via phone and in-person.
 ",0.53015184,0.480988795,0,0.485714286
274,OPERATIONS MANAGER,"Education
M.B.A : Alternative Dispute 1 2008 Pepperdine University City , State Alternative Dispute ","Budgeting Analysis, Forecasting and Cost
Dynamic Leadership-Team Building and Staff Training
Reductions
Strategic planning
Productivity Reporting
Cross Departmental Communications
Contract Compliance
Professional Experience
Operations Manager 01/2002 to Current Company Name City , State
Managed Yard and Terminal Operations Center
SuperIndendent of RailRoad Department, Vessel Operations and Customer Service
Solicited operational feedback from Union and implemented those recommendations, improved by 23%
Improvements in productivity thus reduced operating budget from $52M to $48M a year
U.S. Customs and Coast Guard grade of 100% for scanning and inspection of cargo within 24 hrs of discharge
Reduction in turn-times averages (industry metric measuring efficiency) from 30.15 minutes to 28.33 minutes
Vessel Operations: Managed 6 to 10 union bosses and indirectly 70 clerks and longshoremen.
 ",0.58210295,0,0,0.314285714
275,OWNER/OPERATOR,"Education
Bachelors Degree : Biology University of Texas ï¼​ City , State
Minor in Sports Medicine.
 ","OWNER/OPERATOR
Summary
Business development expert and top sales performer with 12+ years experience in Texas, California, and Oklahoma markets. Experience
06/2011 to Current
Owner/Operator Company Name ï¼​ City , State
Developed new customer base and generated new accounts by implementing effective networking and content marketing strategies.
 Associate of Applied Science : Surgical Technology / Emergency Medicine Academy of Health Sciences ï¼​ City , State
Surgical Technician Certificate
EMT Certificate
Medical Specialist Certificate
Coursework in Health Science and Nursing
Health Management coursework
Certifications
Apex Fitness Systems, California
dotFIT Systems, California
National Academy of Sports Medicine, California
International Physical Fitness Association, Florida
Surgical Technologist
Medical Technologist
National Registry of Emergency Medical Technicians (EMT-B), Texas
Skills
Account Management, Accounts Payable/Receivable, Budgeting, Business Development, Client Relations, Cold Calling, Computer Proficient,
Creative Problem Solving, Customer Needs Assessment, Customer Satisfaction, Customer Service, Expense Control, Internal Auditing, Lead
Development, Marketing, Multi-Task Management, Product Development, Project Management, Reporting, Sales, Territory Sales Experience,
Payroll
 ",0.46008024,0.824545239,0,0
276,FINANCE MANAGER,"Accountant
May 1992 to September 1996 Company Name ï¼​ City
Maintained basic accounts, book keeping Reconciliation of Bank statements Ledger entries, journal entries Customer relations Invoice
entries and cross checking Prepared and analyzed financial statements Making Cheques for parties Maintained Ledger for Sales, purchase
Making Vouchers & Entries in Computer Cash Handling & Preparation of Day Book.
Education
Master's degree
M.B.A : ","MBA -Finance with 20 years' experience in the field of accounts & finance.
 Experience
Finance Manager
February 2001 to September 2014
Determining financial objectives.
 ",0.69146574,0.355433516,0,0
277,HUMAN RESOURCES MANAGER,"Education
Masters : Keller Graduate School of Management / Tinley Park, IL - Human Resource Management City , State , US
Keller Graduate School of Management / Tinley Park, Illinois
Masters in Human Resource Management (MHRM)
Bachelor of Science : Alcorn State University - Business Administration City , State , US
Alcorn State University / Lorman, Mississippi
Bachelor of Science: Business Administration
Certifications
Human Resources Certification Institute (HRCI)
 ","FISCAL MANAGEMENT
Knowledgeable of federal & state labor & employment law. Experience
Human Resources Manager 08/2012 ï¼​ Current Company Name City , State
To drive business initiatives by providing strategic HR guidance to leadership and management through planning, organizing and controlling the
activities of the Human Resources Department. Senior Professional in Human Resources (SPHR)
Professional Affiliations
PROFESSIONAL ORGANIZATIONS
Society for Human Resource Management (SHRM)
Skills
Human Resources, Training, Employee Relations, Recruitment, Organizational Development, Payroll, Purchasing, Equal Employment Opportunity,
Recruiting, Staffing, Project Management, Labor Law, Strategic Planning, Benefits, Budget, Employee Engagement, Employment Law, Labor
Laws, Microsoft Office, PowerPoint, Word, Human Resource Management.
 ",0.35664853,0,0,0
