,pdf_id,Job Title,Interviewee ID,Job Title applying to,Job Title Tokens,Aggregated Applying Job Title Tokens,Job Title Risk Factor
174,178,FAMILY ADVOCATE,178,,"['FAMILY', 'ADVOCATE']",[],0
175,179,PROGRAM MANAGER,179,,"['PROGRAM', 'MANAGER']",[],0
176,180,HR EXECUTIVE,180,,"['HR', 'EXECUTIVE']",[],0
177,181,STAFF ACCOUNTANT,181,,"['STAFF', 'ACCOUNTANT']",[],0
178,182,INFORMATION TECHNOLOGY (IT) SPECIALIST,182,,"['INFORMATION', 'TECHNOLOGY', '(IT)', 'SPECIALIST']",[],0
179,183,HR DIRECTOR,183,,"['HR', 'DIRECTOR']",[],0
180,184,DRIVER,184,,['DRIVER'],[],0
181,185,TUTORING CONSULTANT,185,school library media specialist,"['TUTORING', 'CONSULTANT']","['school', 'library', 'media', 'specialist']",0.901125172
182,186,DIRECTOR OF HR,186,,"['DIRECTOR', 'OF', 'HR']",[],0
183,187,SENIOR LENDING OFFICER - VP EXECUTIVE OFFICER,187,a senior lending officer,"['SENIOR', 'LENDING', 'OFFICER', '-', 'VP', 'EXECUTIVE', 'OFFICER']","['a', 'senior', 'lending', 'officer']",0.319747236
184,189,GLOBAL FINANCE ACCOUNTANT,189,,"['GLOBAL', 'FINANCE', 'ACCOUNTANT']",[],0
185,190,REGIONAL HR DEPUTY MANAGER,190,,"['REGIONAL', 'HR', 'DEPUTY', 'MANAGER']",[],0
186,191,FINANCE MANAGER,191,executive oversight,"['FINANCE', 'MANAGER']","['executive', 'oversight']",0.476042518
187,192,HUMAN RESOURCES PROFESSIONAL,192,,"['HUMAN', 'RESOURCES', 'PROFESSIONAL']",[],0
188,193,HR CLERK,193,,"['HR', 'CLERK']",[],0
189,194,ACCOUNTANT,194,,['ACCOUNTANT'],[],0
190,195,INFORMATION TECHNOLOGY SPECIALIST,195,the Specialist this specialist,"['INFORMATION', 'TECHNOLOGY', 'SPECIALIST']","['the', 'Specialist', 'this', 'specialist']",0.29135032
191,197,VICE PRESIDENT-BUSINESS BANKING SALES MANAGER AND HEALTHCARE SPECIALTY BANKER,197,an outstanding healthcare specialist an outstanding banking executive,"['VICE', 'PRESIDENT-BUSINESS', 'BANKING', 'SALES', 'MANAGER', 'AND', 'HEALTHCARE', 'SPECIALTY', 'BANKER']","['an', 'outstanding', 'healthcare', 'specialist', 'an', 'outstanding', 'banking', 'executive']",0.180777414
192,198,FINANCE BUSINESS PARTNER,198,,"['FINANCE', 'BUSINESS', 'PARTNER']",[],0
193,199,OPERATIONS RESEARCH ANALYST,199,Operations Research Analyst,"['OPERATIONS', 'RESEARCH', 'ANALYST']","['Operations', 'Research', 'Analyst']",0.626963787
194,200,AVIATION SUPPLY SPECIALIST,200,radiological control technician,"['AVIATION', 'SUPPLY', 'SPECIALIST']","['radiological', 'control', 'technician']",0.431908962
195,201,AVIATION SAFETY ASSISTANT,201,,"['AVIATION', 'SAFETY', 'ASSISTANT']",[],0
196,202,SOFTWARE QUALITY ASSURANCE ANALYST II,202,,"['SOFTWARE', 'QUALITY', 'ASSURANCE', 'ANALYST', 'II']",[],0
197,203,DIRECTOR OF FINANCE,203,,"['DIRECTOR', 'OF', 'FINANCE']",[],0
198,204,HR MANAGER,204,,"['HR', 'MANAGER']",[],0
199,205,ACCOUNTANT,205,,['ACCOUNTANT'],[],0
200,206,FINANCIAL ANALYST,206,a talented financial analyst a talented financial analyst,"['FINANCIAL', 'ANALYST']","['a', 'talented', 'financial', 'analyst', 'a', 'talented', 'financial', 'analyst']",0.564562609
201,207,"GOVERNMENT RELATIONS, COMMUNICATIONS AND ORGANIZATIONAL DEVELOPMENT DIRECTOR",207,internal and external partners,"['GOVERNMENT', 'RELATIONS,', 'COMMUNICATIONS', 'AND', 'ORGANIZATIONAL', 'DEVELOPMENT', 'DIRECTOR']","['internal', 'and', 'external', 'partners']",0.430931009
202,208,PERSONAL TRAINER,208,,"['PERSONAL', 'TRAINER']",[],0
203,209,VP OF FINANCE,209,an exceptional finance assistant,"['VP', 'OF', 'FINANCE']","['an', 'exceptional', 'finance', 'assistant']",0.381474845
204,210,SOFTWARE ENGINEER,210,,"['SOFTWARE', 'ENGINEER']",[],0
205,212,PROGRAM ADMINISTRATOR,212,Program Administrator the Program Administrators adeptness,"['PROGRAM', 'ADMINISTRATOR']","['Program', 'Administrator', 'the', 'Program', 'Administrators', 'adeptness']",0.652368516
206,213,ASSISTANT DIRECTOR,213,,"['ASSISTANT', 'DIRECTOR']",[],0
207,214,ACCOUNTANT,214,,['ACCOUNTANT'],[],0
208,215,SENIOR ACCOUNTANT,215,international payrolls international payroll compliance auditors international payrolls,"['SENIOR', 'ACCOUNTANT']","['international', 'payrolls', 'international', 'payroll', 'compliance', 'auditors', 'international', 'payrolls']",0.54054884
209,216,SENIOR SALES MANAGEMENT CONSULTANT,216,,"['SENIOR', 'SALES', 'MANAGEMENT', 'CONSULTANT']",[],0
210,217,ACCOUNTANT,217,internal and external auditors a Supervisor Accountant,['ACCOUNTANT'],"['internal', 'and', 'external', 'auditors', 'a', 'Supervisor', 'Accountant']",0.64436794
211,218,DIRECTOR OF THEATER,218,,"['DIRECTOR', 'OF', 'THEATER']",[],0
212,219,HR ASSOCIATE MOBILIZATION COORDINATOR,219,international assignments,"['HR', 'ASSOCIATE', 'MOBILIZATION', 'COORDINATOR']","['international', 'assignments']",0.458092913
213,220,DIRECTOR OF INFORMATION TECHNOLOGY AND ANALYTICS,220,a Senior Specialty Sales Representative,"['DIRECTOR', 'OF', 'INFORMATION', 'TECHNOLOGY', 'AND', 'ANALYTICS']","['a', 'Senior', 'Specialty', 'Sales', 'Representative']",0.282536005
214,221,PROJECT COORDINATOR,221,,"['PROJECT', 'COORDINATOR']",[],0
215,222,HEALTHCARE CONSULTANT,222,executives,"['HEALTHCARE', 'CONSULTANT']",['executives'],0.593621655
216,223,GROUP EXERCISE FITNESS INSTRUCTOR,223,,"['GROUP', 'EXERCISE', 'FITNESS', 'INSTRUCTOR']",[],0
217,224,LANGUAGE ARTS TEACHER,224,advisor,"['LANGUAGE', 'ARTS', 'TEACHER']",['advisor'],0.724397706
218,225,HR BUSINESS PARTNER,225,,"['HR', 'BUSINESS', 'PARTNER']",[],0
219,226,PROGRAMME FINANCE ASSOCIATE,226,,"['PROGRAMME', 'FINANCE', 'ASSOCIATE']",[],0
220,227,INFORMATION TECHNOLOGY CERTIFIED TECHNICIAN,227,this technicians commitment the senior technical support analyst,"['INFORMATION', 'TECHNOLOGY', 'CERTIFIED', 'TECHNICIAN']","['this', 'technicians', 'commitment', 'the', 'senior', 'technical', 'support', 'analyst']",0.402489469
221,228,PROJECT ACCOUNTANT,228,internal controls,"['PROJECT', 'ACCOUNTANT']","['internal', 'controls']",0.544416524
222,229,HR SPECIALIST,229,the HR Specialist's innovative approach internship development the internship initiatives,"['HR', 'SPECIALIST']","['the', 'HR', ""Specialist's"", 'innovative', 'approach', 'internship', 'development', 'the', 'internship', 'initiatives']",0.261644922
223,230,ADVOCATE,230,a personal trainer a trusted advisor,['ADVOCATE'],"['a', 'personal', 'trainer', 'a', 'trusted', 'advisor']",0.336556266
224,232,LIBRARY EDUCATIONAL AIDE,232,an intern,"['LIBRARY', 'EDUCATIONAL', 'AIDE']","['an', 'intern']",0.877899333
225,233,PROJECT COORDINATOR,233,,"['PROJECT', 'COORDINATOR']",[],0
226,234,UNMANNED AVIATION TECHNICIAN SUPERVISOR,234,,"['UNMANNED', 'AVIATION', 'TECHNICIAN', 'SUPERVISOR']",[],0
227,235,HR MANAGER/GENERALIST,235,,"['HR', 'MANAGER/GENERALIST']",[],0
228,236,ENGLISH LANGUAGE ARTS TEACHER,236,,"['ENGLISH', 'LANGUAGE', 'ARTS', 'TEACHER']",[],0
229,237,STUDENT TEACHER,237,both a crew trainer the Visual Arts Specialist,"['STUDENT', 'TEACHER']","['both', 'a', 'crew', 'trainer', 'the', 'Visual', 'Arts', 'Specialist']",0.556800707
230,238,HR GENERALIST,238,a trusted advisor,"['HR', 'GENERALIST']","['a', 'trusted', 'advisor']",0.492208958
231,239,AVID TUTOR,239,an equipment operator,"['AVID', 'TUTOR']","['an', 'equipment', 'operator']",0.708499912
232,240,HR SERVICES REPRESENTATIVE,240,the HR services representative's credentials,"['HR', 'SERVICES', 'REPRESENTATIVE']","['the', 'HR', 'services', ""representative's"", 'credentials']",0.340721623
233,241,FULL TIME STUDENT/INTERN,241,Business Process Analyst,"['FULL', 'TIME', 'STUDENT/INTERN']","['Business', 'Process', 'Analyst']",0.708543586
234,242,GLOBAL HR MANAGER,242,an HR business analyst international complexities,"['GLOBAL', 'HR', 'MANAGER']","['an', 'HR', 'business', 'analyst', 'international', 'complexities']",0.266418081
235,243,FIELD PROJECT SUPERVISOR,243,supervisory positions this supervisor,"['FIELD', 'PROJECT', 'SUPERVISOR']","['supervisory', 'positions', 'this', 'supervisor']",0.500057254
236,244,TRAINING MANAGER,244,,"['TRAINING', 'MANAGER']",[],0
237,245,EMPLOYEE RELATIONS CONSULTANT,245,,"['EMPLOYEE', 'RELATIONS', 'CONSULTANT']",[],0
238,246,ACCOUNTANT II,246,,"['ACCOUNTANT', 'II']",[],0
239,247,PA MEDIA GROUP,247,a highly skilled healthcare analyst,"['PA', 'MEDIA', 'GROUP']","['a', 'highly', 'skilled', 'healthcare', 'analyst']",0.523354917
240,248,INFORMATION TECHNOLOGY SPECIALIST,248,,"['INFORMATION', 'TECHNOLOGY', 'SPECIALIST']",[],0
241,249,IMPACT,249,a healthcare specialist Healthcare Specialist and Combat Medic,['IMPACT'],"['a', 'healthcare', 'specialist', 'Healthcare', 'Specialist', 'and', 'Combat', 'Medic']",0.837409584
242,250,"ADJUNCT FACULTY, ZANVYL KREIGER SCHOOL OF ARTS AND SCIENCES, ADVANCED ACADEMIC PROGRAMS",250,,"['ADJUNCT', 'FACULTY,', 'ZANVYL', 'KREIGER', 'SCHOOL', 'OF', 'ARTS', 'AND', 'SCIENCES,', 'ADVANCED', 'ACADEMIC', 'PROGRAMS']",[],0
243,251,PRACTICE MANAGER,251,a Certified Nursing Assistant over the past eleven years are truly commendable,"['PRACTICE', 'MANAGER']","['a', 'Certified', 'Nursing', 'Assistant', 'over', 'the', 'past', 'eleven', 'years', 'are', 'truly', 'commendable']",0.484541116
244,252,ELECTRONIC HEALTH RECORD OPTIMIZATION SPECIALIST,252,an information technology intern,"['ELECTRONIC', 'HEALTH', 'RECORD', 'OPTIMIZATION', 'SPECIALIST']","['an', 'information', 'technology', 'intern']",0.60786495
245,253,"MANAGER, CONTINUOUS IMPROVEMENT",253,an aviation operation specialist,"['MANAGER,', 'CONTINUOUS', 'IMPROVEMENT']","['an', 'aviation', 'operation', 'specialist']",0.508902065
246,254,SUMMER CAMP COUNSELOR,254,a production assistant intern,"['SUMMER', 'CAMP', 'COUNSELOR']","['a', 'production', 'assistant', 'intern']",0.645393713
247,255,STAFF ACCOUNTANT,255,,"['STAFF', 'ACCOUNTANT']",[],0
248,256,ACCOUNTANT,256,,['ACCOUNTANT'],[],0
249,257,"CORPORATE BANKING ASSISTANT, INTERN",257,the corporate banking assistant intern Corporate Banking Assistant during their internship a talented Corporate Banking Assistant intern their internship international projects,"['CORPORATE', 'BANKING', 'ASSISTANT,', 'INTERN']","['the', 'corporate', 'banking', 'assistant', 'intern', 'Corporate', 'Banking', 'Assistant', 'during', 'their', 'internship', 'a', 'talented', 'Corporate', 'Banking', 'Assistant', 'intern', 'their', 'internship', 'international', 'projects']",0.508751966
250,258,"MANAGER, FINANCE",258,,"['MANAGER,', 'FINANCE']",[],0
251,259,SENIOR ACCOUNTANT,259,both the supervisor accountant detailed internal reports,"['SENIOR', 'ACCOUNTANT']","['both', 'the', 'supervisor', 'accountant', 'detailed', 'internal', 'reports']",0.467095629
252,260,PATIENT ADVOCATE,260,,"['PATIENT', 'ADVOCATE']",[],0
253,261,FINANCE MANAGER,261,,"['FINANCE', 'MANAGER']",[],0
254,262,ADMINISTRATIVE ASSISTANT DIRECTOR HUMAN RESOURCES MANAGER PRODUCTION MANAGER ENGINEERING,262,,"['ADMINISTRATIVE', 'ASSISTANT', 'DIRECTOR', 'HUMAN', 'RESOURCES', 'MANAGER', 'PRODUCTION', 'MANAGER', 'ENGINEERING']",[],0
255,263,GENERAL ACCOUNTANT,263,,"['GENERAL', 'ACCOUNTANT']",[],0
256,264,CUSTOMER SERVICE REPRESENTATIVE,264,,"['CUSTOMER', 'SERVICE', 'REPRESENTATIVE']",[],0
257,265,INFORMATION TECHNOLOGY INTERN (TEST AUTOMATION ENGINEER),265,a database programmer their internship an intern,"['INFORMATION', 'TECHNOLOGY', 'INTERN', '(TEST', 'AUTOMATION', 'ENGINEER)']","['a', 'database', 'programmer', 'their', 'internship', 'an', 'intern']",0.408299498
258,266,FINANCE SPECIALIST,266,a Finance Specialist an exceptionally skilled Finance Specialist a finance specialist a talented finance specialist an exceptional Finance Specialists growth the finance specialist,"['FINANCE', 'SPECIALIST']","['a', 'Finance', 'Specialist', 'an', 'exceptionally', 'skilled', 'Finance', 'Specialist', 'a', 'finance', 'specialist', 'a', 'talented', 'finance', 'specialist', 'an', 'exceptional', 'Finance', 'Specialists', 'growth', 'the', 'finance', 'specialist']",0.286140639
259,267,CUSTOMER SERVICE ADVOCATE,267,,"['CUSTOMER', 'SERVICE', 'ADVOCATE']",[],0
260,268,INTERNATIONAL CERTIFICATION PROGRAM MANAGEMENT,268,,"['INTERNATIONAL', 'CERTIFICATION', 'PROGRAM', 'MANAGEMENT']",[],0
261,269,"SUPERVISOR, ACCOUNTANT",269,a Supervisor an exceptional supervisor,"['SUPERVISOR,', 'ACCOUNTANT']","['a', 'Supervisor', 'an', 'exceptional', 'supervisor']",0.689725034
262,270,HR CUSTOMER SERVICE REPRESENTATIVE,270,an exceptional HR representative,"['HR', 'CUSTOMER', 'SERVICE', 'REPRESENTATIVE']","['an', 'exceptional', 'HR', 'representative']",0.266111987
263,271,FINANCE DIRECTOR,271,a trusted financial executive,"['FINANCE', 'DIRECTOR']","['a', 'trusted', 'financial', 'executive']",0.407452751
264,272,HR BUSINESS PARTNER II,272,,"['HR', 'BUSINESS', 'PARTNER', 'II']",[],0
265,273,MARKETING MANAGER,273,the Finance Controller's analytical approach,"['MARKETING', 'MANAGER']","['the', 'Finance', ""Controller's"", 'analytical', 'approach']",0.480988795
266,274,OPERATIONS MANAGER,274,,"['OPERATIONS', 'MANAGER']",[],0
267,275,OWNER/OPERATOR,275,a highly skilled Owner/Operator,['OWNER/OPERATOR'],"['a', 'highly', 'skilled', 'Owner/Operator']",0.824545239
268,276,FINANCE MANAGER,276,a seasoned finance operations supervisor,"['FINANCE', 'MANAGER']","['a', 'seasoned', 'finance', 'operations', 'supervisor']",0.355433516
269,277,HUMAN RESOURCES MANAGER,277,,"['HUMAN', 'RESOURCES', 'MANAGER']",[],0
270,279,INFORMATION TECHNOLOGY SPECIALIST,279,an Information Technology Specialist,"['INFORMATION', 'TECHNOLOGY', 'SPECIALIST']","['an', 'Information', 'Technology', 'Specialist']",0.30556734
271,280,"FACULTY, CLINICAL INSTRUCTOR, & CLINICAL COORDINATOR",280,,"['FACULTY,', 'CLINICAL', 'INSTRUCTOR,', '&', 'CLINICAL', 'COORDINATOR']",[],0
272,281,INFORMATION TECHNOLOGY MANAGER/ANALYST,281,,"['INFORMATION', 'TECHNOLOGY', 'MANAGER/ANALYST']",[],0
273,282,SENIOR ACCOUNTANT,282,,"['SENIOR', 'ACCOUNTANT']",[],0
274,283,ACCOUNTANT,283,,['ACCOUNTANT'],[],0
275,284,GENERAL MANAGER,284,,"['GENERAL', 'MANAGER']",[],0
276,285,OPERATIONS MANAGER,285,an administrator,"['OPERATIONS', 'MANAGER']","['an', 'administrator']",0.447832589
277,286,FINANCE DIRECTOR,286,a finance specialist internal and external stakeholders external auditors,"['FINANCE', 'DIRECTOR']","['a', 'finance', 'specialist', 'internal', 'and', 'external', 'stakeholders', 'external', 'auditors']",0.367794822
278,287,EXECUTIVE DIRECTOR,287,,"['EXECUTIVE', 'DIRECTOR']",[],0
279,288,ARTS EDUCATOR,288,an advisor the advisor,"['ARTS', 'EDUCATOR']","['an', 'advisor', 'the', 'advisor']",0.425388795
280,289,BRANCH BANKING COORDINATOR,289,,"['BRANCH', 'BANKING', 'COORDINATOR']",[],0
281,290,RDA,290,a skilled dental assistant Dental Assistant,['RDA'],"['a', 'skilled', 'dental', 'assistant', 'Dental', 'Assistant']",0.879333673
282,291,FITNESS INSTRUCTOR,291,a veteran personal trainer a finance analyst sterilization technician,"['FITNESS', 'INSTRUCTOR']","['a', 'veteran', 'personal', 'trainer', 'a', 'finance', 'analyst', 'sterilization', 'technician']",0.377290713
283,292,FINANCE SPECIALIST,292,industry executives both internal and external stakeholders internal and external customers,"['FINANCE', 'SPECIALIST']","['industry', 'executives', 'both', 'internal', 'and', 'external', 'stakeholders', 'internal', 'and', 'external', 'customers']",0.267437073
284,293,DANCE INSTRUCTOR,293,,"['DANCE', 'INSTRUCTOR']",[],0
285,294,ADMINISTRATIVE MANAGER,294,a dedicated operations technician,"['ADMINISTRATIVE', 'MANAGER']","['a', 'dedicated', 'operations', 'technician']",0.431419773
286,295,PRODUCTION SUPERVISOR / VALUE STREAM LEADER,295,Aviation Electronics Technician,"['PRODUCTION', 'SUPERVISOR', '/', 'VALUE', 'STREAM', 'LEADER']","['Aviation', 'Electronics', 'Technician']",0.588643455
287,296,ADMINISTRATIVE ASSISTANT,296,,"['ADMINISTRATIVE', 'ASSISTANT']",[],0
288,297,HR GENERALIST,297,,"['HR', 'GENERALIST']",[],0
289,298,OPERATIONS AND FINANCE MANAGER,298,,"['OPERATIONS', 'AND', 'FINANCE', 'MANAGER']",[],0
290,299,ASSISTANT ACCOUNTANT,299,,"['ASSISTANT', 'ACCOUNTANT']",[],0
291,300,DIRECTOR OF FINANCE,300,,"['DIRECTOR', 'OF', 'FINANCE']",[],0
292,301,STAFF ACCOUNTANT,301,,"['STAFF', 'ACCOUNTANT']",[],0
293,302,HR MANAGER,302,an HR Representative,"['HR', 'MANAGER']","['an', 'HR', 'Representative']",0.192707621
294,303,HR CLERK,303,,"['HR', 'CLERK']",[],0
295,304,STAFF ACCOUNTANT,304,a certified fitness trainer,"['STAFF', 'ACCOUNTANT']","['a', 'certified', 'fitness', 'trainer']",0.619340698
296,305,HR GENERALIST,305,,"['HR', 'GENERALIST']",[],0
297,306,LEAD INFORMATION TECHNOLOGY SUPPORT SPECIALIST,306,,"['LEAD', 'INFORMATION', 'TECHNOLOGY', 'SUPPORT', 'SPECIALIST']",[],0
298,307,"DIRECTOR, FINANCE",307,,"['DIRECTOR,', 'FINANCE']",[],0
299,308,INFORMATION TECHNOLOGY HELP DESK SPECIALIST,308,a talented information technology help desk specialist,"['INFORMATION', 'TECHNOLOGY', 'HELP', 'DESK', 'SPECIALIST']","['a', 'talented', 'information', 'technology', 'help', 'desk', 'specialist']",0.362137769
300,309,HR DIRECTOR/ADMINISTRATOR,309,,"['HR', 'DIRECTOR/ADMINISTRATOR']",[],0
301,310,ACCOUNTANT,310,,['ACCOUNTANT'],[],0
302,311,AVIATION SUPPLY SPECIALIST,311,,"['AVIATION', 'SUPPLY', 'SPECIALIST']",[],0
303,312,DIRECTOR OF INFORMATION TECHNOLOGY,312,senior officers,"['DIRECTOR', 'OF', 'INFORMATION', 'TECHNOLOGY']","['senior', 'officers']",0.615487578
304,313,FITNESS TRAINEE/RECREATION MANAGEMENT INTERN,313,a recreation coordinator international tournaments,"['FITNESS', 'TRAINEE/RECREATION', 'MANAGEMENT', 'INTERN']","['a', 'recreation', 'coordinator', 'international', 'tournaments']",0.430647817
305,314,SUBJECT MATTER EXPERT (INFORMATION TECHNOLOGY ASSISTANT),314,Subject Matter Expert and Information Technology Assistant,"['SUBJECT', 'MATTER', 'EXPERT', '(INFORMATION', 'TECHNOLOGY', 'ASSISTANT)']","['Subject', 'Matter', 'Expert', 'and', 'Information', 'Technology', 'Assistant']",0.624225134
306,315,ACCOUNTANT,315,,['ACCOUNTANT'],[],0
307,316,PACKAGING BUYER/RESEARCH AND DEVELOPMENT LEAD,316,an Assistant Principal,"['PACKAGING', 'BUYER/RESEARCH', 'AND', 'DEVELOPMENT', 'LEAD']","['an', 'Assistant', 'Principal']",0.427936865
308,317,CORPORATE CONTROLLER,317,an Inside Sales Representative,"['CORPORATE', 'CONTROLLER']","['an', 'Inside', 'Sales', 'Representative']",0.648688232
309,318,FINANCE MANAGER,318,,"['FINANCE', 'MANAGER']",[],0
310,319,HR ASSISTANT,319,,"['HR', 'ASSISTANT']",[],0
311,320,RN / ASST. HEAD NURSE PRACTICE LEADER,320,an assistant head nurse,"['RN', '/', 'ASST.', 'HEAD', 'NURSE', 'PRACTICE', 'LEADER']","['an', 'assistant', 'head', 'nurse']",0.545980768
312,321,THEATER ARTS TEACHER & PROGRAM DIRECTOR,321,,"['THEATER', 'ARTS', 'TEACHER', '&', 'PROGRAM', 'DIRECTOR']",[],0
313,322,PAYROLL ACCOUNTANT,322,internal processes C-level executives,"['PAYROLL', 'ACCOUNTANT']","['internal', 'processes', 'C-level', 'executives']",0.580480929
314,323,"DIRECTOR, COMPOUNDING SALES SPECIALIST",323,new sales representatives,"['DIRECTOR,', 'COMPOUNDING', 'SALES', 'SPECIALIST']","['new', 'sales', 'representatives']",0.402563033
315,324,DIRECTOR OF FINANCE,324,,"['DIRECTOR', 'OF', 'FINANCE']",[],0
316,325,ADVENTURE RUN COORDINATOR,325,,"['ADVENTURE', 'RUN', 'COORDINATOR']",[],0
317,326,LANDSCAPE TECHNICIAN,326,Operations Supervisor to Loss Prevention/BSA Analyst showcased a strong commitment to risk management and fraud prevention a talented landscape technician,"['LANDSCAPE', 'TECHNICIAN']","['Operations', 'Supervisor', 'to', 'Loss', 'Prevention/BSA', 'Analyst', 'showcased', 'a', 'strong', 'commitment', 'to', 'risk', 'management', 'and', 'fraud', 'prevention', 'a', 'talented', 'landscape', 'technician']",0.566743097
318,327,INFORMATION TECHNOLOGY SPECIALIST,327,the IT Specialist's ability this information technology specialist,"['INFORMATION', 'TECHNOLOGY', 'SPECIALIST']","['the', 'IT', ""Specialist's"", 'ability', 'this', 'information', 'technology', 'specialist']",0.28189943
319,328,ADMINISTRATOR OF INFORMATION TECHNOLOGY,328,,"['ADMINISTRATOR', 'OF', 'INFORMATION', 'TECHNOLOGY']",[],0
320,329,ARTS INSTRUCTOR,329,,"['ARTS', 'INSTRUCTOR']",[],0
321,330,HEALTH SYSTEMS ANALYST,330,a Clinical Research Coordinator Mentor a highly skilled health systems analyst,"['HEALTH', 'SYSTEMS', 'ANALYST']","['a', 'Clinical', 'Research', 'Coordinator', 'Mentor', 'a', 'highly', 'skilled', 'health', 'systems', 'analyst']",0.468889714
322,331,CREATIVE ASSISTANT,331,a licensing assistant the Creative Assistant role a remarkable logistics coordinator a creative assistant Creative Assistant has showcased a remarkable blend of innovation and organization,"['CREATIVE', 'ASSISTANT']","['a', 'licensing', 'assistant', 'the', 'Creative', 'Assistant', 'role', 'a', 'remarkable', 'logistics', 'coordinator', 'a', 'creative', 'assistant', 'Creative', 'Assistant', 'has', 'showcased', 'a', 'remarkable', 'blend', 'of', 'innovation', 'and', 'organization']",0.498339562
323,332,PROJECT ACCOUNTANT,332,a seasoned Purchasing Agent,"['PROJECT', 'ACCOUNTANT']","['a', 'seasoned', 'Purchasing', 'Agent']",0.561530846
324,333,FINANCE SPECIALIST,333,an Accounts Payable Specialist the specialist,"['FINANCE', 'SPECIALIST']","['an', 'Accounts', 'Payable', 'Specialist', 'the', 'specialist']",0.326506207
325,334,"PROFESSIONAL FITNESS TRAINER, GROUP INSTRUCTOR",334,,"['PROFESSIONAL', 'FITNESS', 'TRAINER,', 'GROUP', 'INSTRUCTOR']",[],0
326,335,BANK OPERATIONS ANALYST,335,the bank operations analyst,"['BANK', 'OPERATIONS', 'ANALYST']","['the', 'bank', 'operations', 'analyst']",0.624685218
327,336,HEALTH COACH,336,,"['HEALTH', 'COACH']",[],0
328,337,CUSTOMER SERVICE REPRESENTATIVE,337,this supervisor brokers a customer service representative is crucial in sustaining that standard,"['CUSTOMER', 'SERVICE', 'REPRESENTATIVE']","['this', 'supervisor', 'brokers', 'a', 'customer', 'service', 'representative', 'is', 'crucial', 'in', 'sustaining', 'that', 'standard']",0.434309174
329,338,CUSTOMER SERVICE ADVOCATE,338,a supervisory role,"['CUSTOMER', 'SERVICE', 'ADVOCATE']","['a', 'supervisory', 'role']",0.275130034
330,339,RN/RN TEAM LEAD,339,the personal trainer a dedicated nurse executive,"['RN/RN', 'TEAM', 'LEAD']","['the', 'personal', 'trainer', 'a', 'dedicated', 'nurse', 'executive']",0.628268011
331,340,CUSTOMER CARE ADVOCATE,340,,"['CUSTOMER', 'CARE', 'ADVOCATE']",[],0
332,341,ADVISOR,341,,['ADVISOR'],[],0
333,342,STAFF ACCOUNTANT,342,,"['STAFF', 'ACCOUNTANT']",[],0
334,343,HR CONSULTING,343,internal job portals,"['HR', 'CONSULTING']","['internal', 'job', 'portals']",0.71400236
335,344,GROUP FITNESS INSTRUCTOR,344,,"['GROUP', 'FITNESS', 'INSTRUCTOR']",[],0
336,345,PLACEMENT AGENT / DORADO BEACH RESORT,345,a dedicated placement agent,"['PLACEMENT', 'AGENT', '/', 'DORADO', 'BEACH', 'RESORT']","['a', 'dedicated', 'placement', 'agent']",0.440888612
337,346,ACCOUNTANT,346,,['ACCOUNTANT'],[],0
338,347,INFORMATION TECHNOLOGY (INTERNSHIP),347,their internship a recent internship over 200 technicians their internship,"['INFORMATION', 'TECHNOLOGY', '(INTERNSHIP)']","['their', 'internship', 'a', 'recent', 'internship', 'over', '200', 'technicians', 'their', 'internship']",0.384993202
339,348,ADMINISTRATIVE ASSISTANT,348,top-tier executives,"['ADMINISTRATIVE', 'ASSISTANT']","['top-tier', 'executives']",0.719152676
340,349,CORPORATE DIRECTOR OF FINANCE,349,analysts,"['CORPORATE', 'DIRECTOR', 'OF', 'FINANCE']",['analysts'],0.7029565
341,350,BUDGET FINANCE SPECIALIST SENIOR,350,Senior Budget Finance Specialist,"['BUDGET', 'FINANCE', 'SPECIALIST', 'SENIOR']","['Senior', 'Budget', 'Finance', 'Specialist']",0.492473777
342,351,CUSTOMER SERVICE SPECIALIST,351,a lead architect,"['CUSTOMER', 'SERVICE', 'SPECIALIST']","['a', 'lead', 'architect']",0.37983857
343,352,VP OF INFORMATION TECHNOLOGY,352,a Planner/Scheduler,"['VP', 'OF', 'INFORMATION', 'TECHNOLOGY']","['a', 'Planner/Scheduler']",0.291731699
344,353,DIRECTOR OF INFORMATION TECHNOLOGY,353,,"['DIRECTOR', 'OF', 'INFORMATION', 'TECHNOLOGY']",[],0
345,354,ENUMERATOR,354,,['ENUMERATOR'],[],0
346,355,GROUP FITNESS INSTRUCTOR,355,an administrative office assistant an exceptional executive assistant,"['GROUP', 'FITNESS', 'INSTRUCTOR']","['an', 'administrative', 'office', 'assistant', 'an', 'exceptional', 'executive', 'assistant']",0.473153023
347,356,YOGA INSTRUCTOR,356,,"['YOGA', 'INSTRUCTOR']",[],0
348,357,SALES ASSOCIATE/CASHIER,357,a Quality Analyst,"['SALES', 'ASSOCIATE/CASHIER']","['a', 'Quality', 'Analyst']",0.465184229
349,358,SERVER,358,various international markets,['SERVER'],"['various', 'international', 'markets']",0.684729251
350,359,CONSULTANT,359,,['CONSULTANT'],[],0
351,360,IT MANAGER,360,an Inside Sales Representative,"['IT', 'MANAGER']","['an', 'Inside', 'Sales', 'Representative']",0.390695775
352,361,SUPERINTENDENT II,361,,"['SUPERINTENDENT', 'II']",[],0
